PEDOT-HTL (L1)>>thickness,PEDOT-HTL (L1)>>band gap,PEDOT-HTL (L1)>>electron affinity,N-CS2AgBiBr6 (L2)>>thickness,N-CS2AgBiBr6 (L2)>>band gap,N-CS2AgBiBr6 (L2)>>electron affinity,P-CsPb(I0.6Br0.4)3 (L3)>>thickness,P-CsPb(I0.6Br0.4)3 (L3)>>band gap,P-CsPb(I0.6Br0.4)3 (L3)>>electron affinity,Voc,Jsc,FF,eta,V_MPP,J_MPP,source_file
0.5898,1.698,3.412,0.6535,2.165,3.738,0.6314,1.873,3.677,1.594798,19.6847276,72.3732,22.7202,1.328152,17.10665473,part1_cleaned.csv
0.58,1.335,3.437,0.3692,1.92,3.624,0.8889,1.897,3.787,1.598207,32.37116355,83.1129,42.9991,1.445763,29.74148847,part1_cleaned.csv
0.4443,1.725,3.597,0.5726,2.21,3.68,0.5974,1.627,3.763,0.800382,0.83563241,25.1006,0.1679,0.401242,0.41839859,part1_cleaned.csv
0.524,1.623,3.41,0.4677,1.95,3.637,0.7858,1.657,3.781,1.539911,22.82521397,73.6225,25.8774,1.310714,19.74300981,part1_cleaned.csv
0.4433,1.653,3.402,0.6156,1.825,3.847,0.4089,2.028,3.606,1.600496,21.40194714,76.6305,26.2488,1.437037,18.26591473,part1_cleaned.csv
0.1401,1.62,3.608,0.3627,2.383,3.956,0.6875,2.078,3.868,1.413473,15.69505039,71.7789,15.9238,1.197548,13.29700396,part1_cleaned.csv
0.2642,1.758,3.799,0.3233,2.383,3.837,0.5311,1.982,3.724,1.412637,9.01279343,62.361,7.9397,1.26366,6.28308093,part1_cleaned.csv
0.2839,1.671,3.738,0.5985,1.809,3.614,0.6996,1.707,3.824,1.386172,21.78637766,83.5927,25.2447,1.259193,20.04832659,part1_cleaned.csv
0.1486,1.55,3.71,0.4223,2.147,3.778,0.7434,1.915,3.643,1.338157,19.35468069,82.8449,21.4565,1.216819,17.63326931,part1_cleaned.csv
0.4469,1.463,3.619,0.2293,2.294,3.837,0.2294,1.654,3.746,1.389402,11.12519418,76.4466,11.8166,1.261323,9.36843744,part1_cleaned.csv
0.2243,1.721,3.443,0.8803,2.111,3.99,0.2526,1.944,3.602,1.576323,17.13397983,75.5731,20.4113,1.36985,14.9003871,part1_cleaned.csv
0.1603,1.377,3.648,0.4806,2.042,3.822,0.6223,2.051,3.874,1.382586,22.87368931,84.0164,26.57,1.255749,21.15872033,part1_cleaned.csv
0.07883,1.662,3.432,0.7133,2.207,3.807,0.2034,1.708,3.882,1.486223,7.03458664,48.4472,5.0651,1.030574,4.91486781,part1_cleaned.csv
0.4123,1.37,3.545,0.5566,2.046,3.909,0.9121,1.98,3.676,1.484352,29.33527632,79.2663,34.5156,1.309928,26.34925314,part1_cleaned.csv
0.06985,1.764,3.702,0.8124,2.003,3.829,0.2359,1.815,3.942,1.450172,16.53038386,80.9405,19.403,1.317298,14.72937168,part1_cleaned.csv
0.5192,1.584,3.451,0.3638,2.137,3.608,0.5766,1.92,3.737,1.576865,23.45371917,82.3531,30.4569,1.438062,21.17915368,part1_cleaned.csv
0.2121,1.239,3.447,0.8527,2.077,3.658,0.7617,1.943,3.79,1.570549,29.27167414,71.7119,32.9678,1.27092,25.94012806,part1_cleaned.csv
0.5466,1.302,3.733,0.4509,1.914,3.633,0.456,1.859,3.906,1.308893,33.10643468,84.6511,36.6817,1.173648,31.25438986,part1_cleaned.csv
0.5448,1.348,3.49,0.3516,1.812,3.97,0.8592,1.782,3.666,1.525452,31.76385323,72.4842,35.1217,1.233864,28.46476697,part1_cleaned.csv
0.5753,1.372,3.797,0.4304,2.177,3.71,0.2118,1.749,3.701,1.24183,26.47881309,82.3105,27.0655,1.116206,24.24775832,part1_cleaned.csv
0.3188,1.373,3.454,0.8539,1.828,3.673,0.9349,1.756,3.887,1.562279,28.5497564,79.7871,35.5872,1.379347,25.80001861,part1_cleaned.csv
0.3222,1.786,3.732,0.7665,2.132,3.929,0.3206,1.819,3.949,1.491419,16.95286744,76.4004,19.317,1.347841,14.33177429,part1_cleaned.csv
0.173,1.61,3.481,0.5763,2.197,3.904,0.2279,1.832,3.64,1.50599,12.7836708,67.9401,13.0799,1.191939,10.97361467,part1_cleaned.csv
0.4408,1.629,3.648,0.2554,1.987,3.957,0.361,1.902,3.748,1.415173,21.55073931,81.0298,24.7125,1.276334,19.36209396,part1_cleaned.csv
0.08181,1.41,3.656,0.857,1.897,3.891,0.8798,1.717,3.875,1.371725,23.20085586,81.2352,25.8533,1.232578,20.97495301,part1_cleaned.csv
0.3342,1.699,3.576,0.3815,2.188,3.735,0.8469,2.096,3.626,1.478488,18.51628489,82.2404,22.5142,1.348773,16.69238177,part1_cleaned.csv
0.4533,1.221,3.441,0.9755,2.388,3.989,1.19,1.711,3.849,1.438396,13.97164814,88.9556,17.8772,1.366922,13.07842398,part1_cleaned.csv
0.5654,1.648,3.756,0.2092,2.127,3.661,0.5932,1.829,3.687,1.374461,21.52080023,80.0007,23.6638,1.246048,18.99108242,part1_cleaned.csv
0.5727,1.458,3.675,0.896,2.034,3.984,0.2338,2.084,3.602,1.369506,25.42093232,70.8672,24.6718,1.221549,20.19713805,part1_cleaned.csv
0.216,1.358,3.608,0.295,2.232,3.859,1.121,1.691,3.848,1.381913,6.14295885,70.1374,5.954,1.268142,4.69504551,part1_cleaned.csv
0.1011,1.605,3.783,0.7355,1.996,3.606,0.287,2.039,3.998,1.320066,16.87129121,81.3248,18.112,1.187871,15.24747864,part1_cleaned.csv
0.1794,1.577,3.587,0.5952,2.166,3.656,0.4295,1.918,3.787,1.442789,19.36003349,83.0955,23.2106,1.319273,17.59348356,part1_cleaned.csv
0.3786,1.397,3.53,0.3001,1.978,3.919,1.011,1.797,3.831,1.48044,28.47623972,69.066,29.1164,1.165355,24.9850113,part1_cleaned.csv
0.5074,1.49,3.47,0.2393,2.195,3.958,0.7493,1.769,3.951,1.52557,14.97436582,43.6512,9.9719,0.838998,11.88544113,part1_cleaned.csv
0.2736,1.557,3.653,0.3188,2.106,3.627,0.6702,1.947,3.931,1.388892,21.66394978,83.7858,25.2102,1.261809,19.9794256,part1_cleaned.csv
