actual_Voc,actual_Jsc,actual_FF,actual_eta,pred_XGBoost_Voc,pred_XGBoost_Jsc,pred_XGBoost_FF,pred_XGBoost_eta,pred_RandomForest_Voc,pred_RandomForest_Jsc,pred_RandomForest_FF,pred_RandomForest_eta,pred_GradientBoosting_Voc,pred_GradientBoosting_Jsc,pred_GradientBoosting_FF,pred_GradientBoosting_eta,pred_LinearRegression_Voc,pred_LinearRegression_Jsc,pred_LinearRegression_FF,pred_LinearRegression_eta,pred_RidgeRegression_Voc,pred_RidgeRegression_Jsc,pred_RidgeRegression_FF,pred_RidgeRegression_eta,pred_KNeighborsRegressor_Voc,pred_KNeighborsRegressor_Jsc,pred_KNeighborsRegressor_FF,pred_KNeighborsRegressor_eta,pred_ANN_Voc,pred_ANN_Jsc,pred_ANN_FF,pred_ANN_eta,pred_CNN_Voc,pred_CNN_Jsc,pred_CNN_FF,pred_CNN_eta,pred_RNN_Voc,pred_RNN_Jsc,pred_RNN_FF,pred_RNN_eta
1.287688,21.16128003,82.8604,22.5787,1.344445,17.760452,78.158516,20.10139,1.4437886280000016,18.448687853980022,81.11812760000011,21.486443399999985,1.3429691138846034,18.038900616372427,78.93784364369627,20.82020075158064,1.3552571071769783,17.205891737816174,79.30802526909106,18.75154460232749,1.3552917784627114,17.206746153354644,79.3067090552745,18.75266532861881,1.2958748,22.926888174,82.75846,24.6624,1.3361273,21.12317,82.84319,23.241793,1.3122833,20.865198,83.0875,22.692446,1.323518,21.046318,80.46452,22.320541
1.361824,15.70051201,81.2786,17.3784,1.4387405,16.948467,79.165665,19.688585,1.4350801664888844,18.0651970660156,80.13339948000007,20.865409919999863,1.5218362591267929,20.85025776014521,73.52507264364097,23.824428859601863,1.534238406816139,20.180391227371647,71.29684419712173,22.699853988732727,1.5342163275226828,20.18024934683385,71.29827668363794,22.69965110682344,1.5261854,22.427088488000003,79.06356000000001,27.195820000000005,1.4393302,16.130632,77.48038,17.965462,1.4134885,16.039646,78.34527,17.34028,1.43986,15.818985,76.72285,17.428467
1.464964,21.93135741,82.7353,26.5817,1.4820458,21.472118,81.6712,25.292603,1.423532004711113,22.21141791759934,79.82943207777768,25.24346391666668,1.4763101682802442,21.83892532142042,84.67534694425512,25.21488777863245,1.4744268677191208,19.4619479646383,77.79035748632248,23.238943260963264,1.4744167762864449,19.461677427165164,77.78952242929823,23.238137360523247,1.4842542,20.708207078,82.53497999999999,25.318720000000003,1.4582964,22.012756,81.071205,25.831476,1.462785,22.297684,80.58247,26.383734,1.4821333,21.735632,82.677505,26.850912
1.604965,18.01334653,81.5166,23.5671,1.5851966,17.039701,80.420334,23.869717,1.528833336666672,19.39038407625001,80.12499536666681,23.483047650000007,1.5711064583912375,21.48218849545353,85.59325529103367,27.52940469943406,1.4493160088935877,25.924692431568975,88.73774189050111,31.052573178593388,1.449318969108454,25.92244589838372,88.73337846824086,31.049445523458864,1.590764,18.589153528,81.23756,23.88154,1.5943556,17.766338,79.66217,22.56945,1.6026646,18.34268,81.79806,24.074678,1.5836823,18.440758,80.963036,23.43244
1.416457,21.88226064,81.4187,25.236,1.4150251,21.822348,81.72327,25.276703,1.4211256700000023,21.84575039022012,80.54302819999972,24.98029280000017,1.4377186072931634,19.916116928603905,79.28012335328154,23.08777927794007,1.4436724810413302,22.26908070761802,75.62865901184689,24.06312826290467,1.4436738102339148,22.26811137926932,75.62871184500722,24.062320454354246,1.3970066000000003,23.39975266,82.41158,26.92982,1.427126,21.636127,81.26601,24.922731,1.4290555,21.13023,83.17925,24.948208,1.4431298,21.175041,81.27284,24.76665
1.321283,27.9875312,87.2279,32.2564,1.3479769,28.15352,85.42599,32.221573,1.328027591999995,27.307741537280204,85.95812520000014,31.19735840000015,1.3861473710580492,26.60001968909861,76.0023470651881,28.34187816483463,1.4897461350374044,26.529759428577734,80.79725895565569,29.1372703057959,1.489734798583455,26.52755629099812,80.7957190265694,29.135038119192554,1.3564652,29.730388402,84.90466,34.26016,1.3619803,27.71279,82.53417,31.00522,1.3293369,28.183529,85.438675,32.0644,1.3281938,27.81736,87.18825,32.43907
1.559503,30.96919436,71.5362,34.5495,1.5693417,30.583954,71.68469,33.964325,1.5600757479999867,30.830495973359653,71.44577719999965,34.346426599999695,1.5613635861066333,28.691385477582656,71.76627077579721,31.1359520619535,1.61685630484438,25.1169440954547,76.29984766171864,28.493123521036978,1.6168047155779195,25.115398314916558,76.2997687666828,28.491290376894728,1.522787,30.146814887999994,72.83193999999999,33.39468000000001,1.5945086,29.330719,70.94809,32.42647,1.5736892,30.630184,71.035126,34.182804,1.5452642,31.780493,70.27494,34.374203
1.622206,32.13055056,83.0435,43.2842,1.6260087,32.25872,83.27502,43.36186,1.6180227400000045,31.62754459159978,82.63372019999979,42.39426259999966,1.625141869145709,28.88593274218306,77.69866290492514,37.000131251010366,1.6510056211024469,28.16165264679327,78.10311015960015,32.995205185696214,1.6509435502091367,28.15878572213422,78.1021495586708,32.99146746181513,1.5578332,25.549920244,82.1955,33.38676,1.6150844,31.956642,81.74686,40.732803,1.6131258,32.656647,80.20513,41.723717,1.6242744,32.740837,83.458694,42.697266
1.441404,22.21682358,82.1174,26.2968,1.4231087,22.003017,82.97574,25.7869,1.440978514000003,22.09228405079997,82.35995020000011,26.210605000000047,1.3965404149073646,18.60249282811364,79.32174579298956,22.360487976048468,1.3302014505807072,14.99772430546604,78.86311234806973,17.77536404680755,1.3302393887645405,14.999187471711164,78.86231466711799,17.776724460741164,1.4478566000000002,20.226174234,82.52106,24.19996,1.4430264,21.015877,84.389915,25.66021,1.4319283,21.252106,85.16513,26.099606,1.4410592,21.455795,84.10708,26.128115
1.54679,32.55680948,82.7666,41.6801,1.534893,32.137764,81.82201,41.123596,1.534742599999992,32.27392388792006,81.46537180000009,40.34956959999998,1.5488578861575246,30.43459227349072,82.05947577052747,37.65338335652645,1.55948387711947,28.84556140598904,82.51265955794587,34.45114906879271,1.5594544665396557,28.842536448502827,82.51055130864998,34.447124421182366,1.4949176,26.86996154,81.37448,32.803340000000006,1.583851,32.11895,81.17708,39.936302,1.5596621,32.74666,81.16118,41.009094,1.5787795,32.260803,81.71691,40.768227
1.458035,16.30914014,80.4223,19.1239,1.5693184,17.460363,79.71949,21.96977,1.530141320000001,17.759917003993337,80.18984526666671,21.791424000000003,1.5596276892759953,17.74065791754841,81.62328648170181,23.288876726221183,1.641290719910012,20.65793930351081,81.26847616843443,26.89039979817436,1.6412205669593436,20.65734311996375,81.26627512176103,26.88833735327993,1.540005,16.006322454000003,74.68730000000001,18.586260000000003,1.5033814,17.90202,77.98356,20.678268,1.5064774,17.339855,77.23388,20.04947,1.4597152,16.4216,79.77652,19.065811
